id,uid,series,season,other_appear,name,origin,Latitude,Longitude,country,gender,age,partner,partner_state,Latitude,Longitude,partner_age,partner_gender,met,status
1,90df11,90df,1,HEA,Paola,"Bucaramanga, Colombia",7.119349,-73.1227416,Colombia,female,26,Russ,Oklahoma,35.4675602,-97.5164276,27,male,,
2,90df12,90df,1,WN,Kirlyam,"Goiânia, Brazil",-16.6868912,-49.2647943,Brazil,female,21,Alan,California,36.778261,-119.4179324,29,male,,
3,90df13,90df,1,,Aya,"Ormoc, Philippines",11.0384275,124.6192702,Philippines,female,30,Louis,Indiana,40.2671941,-86.1349019,33,male,,
4,90df14,90df,1,,Aziza,"Volgograd, Russia",48.708048,44.5133035,Russia,female,21,Mike,Ohio,40.4172871,-82.907123,31,male,,
5,90df25,90df,2,,Yamir,"Managua, Nicaragua",12.1149926,-86.2361744,Nicaragua,male,28,Chelsea,Illinois,40.6331249,-89.3985283,25,female,,
6,90df26,90df,2,"HEA, WN",Mohamed,"Tunis, Tunisia",36.8064948,10.1815316,Tunisia,male,26,Danielle,Ohio,40.4172871,-82.907123,41,female,,
7,90df27,90df,2,,Evelin,"Cali, Colombia",3.4516467,-76.5319854,Colombia,female,29,Justin,California,36.778261,-119.4179324,34,male,,
8,90df28,90df,2,HEA,Daya,"San Carlos, Negros Occidental, Philippines",10.4837342,123.4128956,Philippines,female,29,Brett,Washington,47.7510741,-120.7401385,31,male,,
9,90df29,90df,2,,Cássia,"Curitiba, Brazil",-25.4289541,-49.267137,Brazil,female,23,Jason,Florida,27.6648274,-81.5157535,38,male,,
10,90df210,90df,2,,Amy,"Cape Town, South Africa",-33.9248685,18.4240553,South Africa,female,21,Danny,Pennsylvania,41.2033216,-77.1945247,23,male,,
11,90df311,90df,3,,Nikki,"Cebu City, Philippines",10.3156992,123.8854366,Philippines,female,19,Mark,Maryland,39.0457549,-76.6412712,58,male,,
12,90df312,90df,3,"HEA, PT",Alexei,"Nazareth Illit, Israel",32.711539,35.324812,Israel,male,27,Loren,New York,40.7127753,-74.0059728,27,female,,
13,90df313,90df,3,HEA,Noon,"Bangkok, Thailand",13.7563309,100.5017651,Thailand,female,25,Kyle,Louisiana,30.9842977,-91.9623327,28,male,,
14,90df314,90df,3,"HEA, WN",Devar,"Runaway Bary, Jamaica",18.4562829,-77.3266991,Jamaica,male,28,Melanie,Pennsylvania,41.2033216,-77.1945247,33,female,,
15,90df315,90df,3,,Carolina,"Medellín, Colombia",6.2476376,-75.5658153,Colombia,female,22,Fernando,Florida,27.6648274,-81.5157535,39,male,,
16,90df316,90df,3,WN,Aleksandra,"Kirov, Russia",58.6030012,49.6679437,Russia,female,21,Josh,Idaho,44.0682019,-114.7420408,22,male,,
17,90df417,90df,4,HEA,Anfisa,"Moscow, Russia",55.755826,37.6172999,Russia,female,20,Jorge,California,36.778261,-119.4179324,27,male,,
18,90df418,90df,4,"season 5, HEA",Azan,"Agadir, Morocco",30.4277547,-9.5981072,Morocco,male,24,Nicole,Florida,27.6648274,-81.5157535,22,female,,
19,90df419,90df,4,WN,Olulowo,"Lagos, Nigeria",6.5243793,3.3792057,Nigeria,male,28,Narkyia,Pennsylvania,41.2033216,-77.1945247,36,female,,
20,90df420,90df,4,WN,Alla,"Kiev, Ukraine",50.4501,30.5234,Ukraine,female,30,Matt,Kentucky,37.8393332,-84.2700179,43,male,,
21,90df421,90df,4,HEA,Pedro,"Santo Domingo, Domincan Republic",18.4860575,-69.9312117,Dominican Republic,male,24,Chantel,Georgia,32.1656221,-82.9000751,25,female,,
22,90df522,90df,5,"HEA, WN, PT",Andrei,"Chisinau, Moldova",47.0104529,28.8638102,Moldova,male,31,Elizabeth,Florida,27.6648274,-81.5157535,27,female,,
23,90df523,90df,5,,David,"Granada, Spain",37.1773363,-3.5985571,Spain,male,27,Evelyn,New Hampshire,43.1938516,-71.5723953,18,female,,
24,90df524,90df,5,HEA,Luis,Dominican Republic,18.735693,-70.162651,Dominican Republic,male,26,Molly,Georgia,32.1656221,-82.9000751,41,female,,
25,90df525,90df,5,PT,Annie,"Bueng Kan, Thailand",18.3609104,103.6464463,Thailand,female,24,David,Kentucky,37.8393332,-84.2700179,48,male,,
26,90df526,90df,5,WN,Aika,"Quezon City, Philippines",14.6760413,121.0437003,Philippines,female,36,Josh,Arizona,34.0489281,-111.0937311,43,male,,
27,90df627,90df,6,HEA,Jay,"Port Maria, Jamaica",18.3653596,-76.8922729,Jamaica,male,20,Ashley,Pennsylvania,41.2033216,-77.1945247,31,female,,
28,90df628,90df,6,"HEA, PT",Larissa,"Minas Gerais, Brazil",-18.512178,-44.5550308,Brazil,female,31,Colt,Nevada,38.8026097,-116.419389,33,male,,
29,90df629,90df,6,,Fernanda,"Celaya, Mexico",20.5279612,-100.8112885,Mexico,female,19,Jonathan,North Carolina,35.7595731,-79.0192997,32,male,,
30,90df630,90df,6,"HEA, PT",Asuelu,Samoa,-13.759029,-172.104629,Samoa,male,23,Kalani,California,36.778261,-119.4179324,30,female,,
31,90df631,90df,6,,Leida,"Jakarta, Indonesia",-6.2087634,106.845599,Indonesia,female,29,Eric,Wisconsin,43.7844397,-88.7878678,40,male,,
32,90df632,90df,6,,Olga,"Voronezh, Russia",51.6683487,39.1919288,Russia,female,20,Steven,Maryland,39.0457549,-76.6412712,20,male,,
33,90df733,90df,7,,Sasha,"Moscow, Russia",55.755826,37.6172999,Russia,female,32,Emily,Oregon,43.8041334,-120.5542012,29,female,,
34,90df734,90df,7,,Mursel,"Antalya, Turkey",36.8968908,30.7133233,Turkey,male,38,Anna,Nebraska,41.4925374,-99.9018131,38,female,,
35,90df735,90df,7,,Juliana,"Goiânia, Brazil",-16.6868912,-49.2647943,Brazil,female,23,Michael,Connecticut,41.6032207,-73.087749,42,male,,
36,90df736,90df,7,HEA,Syngin,"Cape Town, South Africa",-33.9248685,18.4240553,South Africa,male,29,Tania,Connecticut,41.6032207,-73.087749,29,female,,
37,90df737,90df,7,PT,Anny,"Santiago, Dominican Republic",19.4791963,-70.6930568,Dominican Republic,female,31,Robert,Florida,27.6648274,-81.5157535,41,male,,
38,90df738,90df,7,,Jasmin,"Helsinki, Finland",60.1698557,24.9383791,Finland,female,27,Blake,California,36.778261,-119.4179324,29,male,,
