country,Latitude,Longitude,count
Brazil,-14.235004,-51.92528,4
Colombia,4.570868,-74.297333,3
Dominican Republic,18.735693,-70.162651,3
Finland,61.92411,25.7481511,1
Indonesia,-0.789275,113.921327,1
Israel,31.046051,34.851612,1
Jamaica,18.109581,-77.297508,2
Mexico,23.634501,-102.552784,1
Moldova,47.411631,28.369885,1
Morocco,31.791702,-7.09262,1
Nicaragua,12.865416,-85.207229,1
Nigeria,9.081999,8.675277,2
Philippines,12.879721,121.774017,4
Russia,61.52401,105.318756,5
Samoa,-13.759029,-172.104629,1
South Africa,-30.559482,22.937506,2
Spain,40.463667,-3.74922,1
Thailand,15.870032,100.992541,2
Tunisia,33.886917,9.537499,1
Turkey,38.963745,35.243322,1
Ukraine,48.379433,31.1655799,2
